"","X","SPOSTMIN","DAYOFWEEK","WEEKOFYEAR","MONTHOFYEAR","HOLIDAYPX","HOLIDAYM","WDWEVENT","WDWRACE","WDWMAXTEMP","WDWMINTEMP","WDWMEANTEMP","EPEVENT","AKEVENT","INSESSION_ENROLLMENT","INSESSION_WDW","INSESSION_DLR","INSESSION_SQRT_WDW","INSESSION_SQRT_DLR","INSESSION_CALIFORNIA","INSESSION_DC","INSESSION_CENTRAL_FL","INSESSION_DRIVE1_FL","INSESSION_DRIVE2_FL","INSESSION_DRIVE_CA","INSESSION_FLORIDA","INSESSION_MARDI_GRAS","INSESSION_MIDWEST","INSESSION_NY_NJ","INSESSION_NY_NJ_PA","INSESSION_NEW_ENGLAND","INSESSION_NEW_JERSEY","INSESSION_NOTHWEST","INSESSION_PLANES","INSESSION_SOCAL","INSESSION_SOUTHWEST","MKEMHMORN","MKEMHMYEST","MKEMHMTOM","MKEMHEVE","MKHOURSEMH","MKHOURSEMHYEST","MKHOURSEMHTOM","MKEMHEYEST","MKEMHETOM","EPEMHMORN","EPEMHMYEST","EPEMHMTOM","EPEMHEVE","EPEMHEYEST","EPEMHETOM","EPHOURSEMH","EPHOURSEMHYEST","EPHOURSEMHTOM","HSEMHMORN","HSEMHMYEST","HSEMHMTOM","HSEMHEVE","HSEMHEYEST","HSEMHETOM","HSHOURSEMH","HSHOURSEMHYEST","HSHOURSEMHTOM","AKEMHMORN","AKEMHMYEST","AKEMHMTOM","AKEMHEVE","AKEMHEYEST","AKEMHETOM","AKHOURSEMH","AKHOURSEMHYEST","AKHOURSEMHTOM","MKHOURS","MKHOURSYEST","MKHOURSTOM","EPHOURS","EPHOURSYEST","EPHOURSTOM","HSHOURS","HSHOURSYEST","HSHOURSTOM","AKHOURS","AKHOURSYEST","AKHOURSTOM","MKDAYSBEFORENONEVENT","MKDAYSSINCENONEVENT","MKEVENTSTREAK","MKEVENTSTREAK_F","WDWMINTEMP_MEAN","WEATHER_WDWHIGH","WEATHER_WDWLOW","WEATHER_WDWPRECIP","CAPACITYLOST_MK","CAPACITYLOST_EP","CAPACITYLOST_HS","CAPACITYLOST_AK","CAPACITYLOSTWGT_MK","CAPACITYLOSTWGT_EP","CAPACITYLOSTWGT_HS","CAPACITYLOSTWGT_AK","EP09CAPACITY","HS20CAPACITY","MKPRDDAY","MKPRDNGT","MKFIREWK","EPFIREWK","HSPRDDAY","HSPRDDT1","HSPRDDN","HSFIREWK","HSSHWNGT","HSFIREWKS","AKPRDDAY","AKPRDDT2","AKFIREN","AKSHWNGT","HOLIDAY 0","HOLIDAY 1","SEASON 1","SEASON 3","SEASON 5","SEASON 7","SEASON 9","SEASON 10","SEASON 11","SEASON 12","SEASON 13","SEASON 14","SEASON 15","SEASON 16","SEASON 17","WDW_TICKET_SEASON 1","WDW_TICKET_SEASON 2","WDW_TICKET_SEASON 3","WDWSEASON 1","WDWSEASON 2","WDWSEASON 3","WDWSEASON 4","WDWSEASON 5","WDWSEASON 6","WDWSEASON 7","WDWSEASON 8","WDWSEASON 9","WDWSEASON 10","WDWSEASON 11","WDWSEASON 12","WDWSEASON 13","WDWSEASON 14","WDWSEASON 15","WDWSEASON 16","WDWSEASON 17"
"1",1,5,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,5,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,5,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,10,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,20,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,40,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,25,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,35,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,45,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,45,1,1,1,0,0,0,0,80.49,55.82,68.16,0,0,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,NA,NA,1,1,1,0,NA,NA,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
